title,source,date,url,text
Heart failure overview,Offline_Fallback,2026-09-18,offline://no-network-fallback,Heart failure is a chronic condition in which the heart cannot pump enough blood to meet the body's needs. It is commonly classified as heart failure with reduced ejection fraction (HFrEF) or heart failure with preserved ejection fraction (HFpEF).
Common symptoms of heart failure,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Typical symptoms of heart failure include dyspnea on exertion, orthopnea, paroxysmal nocturnal dyspnea, fatigue, leg edema, and rapid weight gain due to fluid retention."
Diagnostic workup,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Diagnostic evaluation of suspected heart failure usually includes echocardiography to measure ejection fraction, electrocardiogram, chest x-ray, and BNP or NT-proBNP blood testing."
Natriuretic peptide biomarkers,Offline_Fallback,2026-09-18,offline://no-network-fallback,BNP and NT-proBNP are natriuretic peptides released by the heart under wall stress and are used as blood biomarkers to support or exclude a diagnosis of heart failure.
Pharmacologic therapy classes,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Guideline-directed medical therapy for heart failure with reduced ejection fraction includes ACE inhibitors or ARNI, beta blockers, mineralocorticoid receptor antagonists such as spironolactone, and SGLT2 inhibitors."
Diuretics in heart failure,Offline_Fallback,2026-09-18,offline://no-network-fallback,Loop diuretics such as furosemide and torsemide are used to relieve congestion and reduce fluid overload symptoms such as leg edema and shortness of breath.
Beta blockers,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Beta blockers including carvedilol, metoprolol succinate, and bisoprolol reduce heart rate and myocardial oxygen demand and are part of standard heart failure therapy."
Digoxin use,Offline_Fallback,2026-09-18,offline://no-network-fallback,Digoxin may be used in selected patients with heart failure and atrial fibrillation to control heart rate and reduce hospitalization for symptomatic heart failure.
Device therapy,Offline_Fallback,2026-09-18,offline://no-network-fallback,Selected patients with heart failure with reduced ejection fraction may benefit from an implantable cardioverter defibrillator or cardiac resynchronization therapy to reduce arrhythmic risk and improve symptoms.
Comorbidities,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Hypertension, diabetes mellitus, coronary artery disease, atrial fibrillation, and chronic kidney disease are common comorbidities that both contribute to and complicate the management of heart failure."
Acute decompensated heart failure,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Acute decompensated heart failure presents with worsening dyspnea, orthopnea, and peripheral edema, and is typically managed with intravenous diuretics and close monitoring of renal function and electrolytes."
Lifestyle management,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Non-pharmacologic management of heart failure includes sodium restriction, fluid restriction in selected patients, daily weight monitoring, and cardiac rehabilitation."
Prognosis,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Heart failure is associated with significant morbidity and mortality, and prognosis is influenced by ejection fraction, comorbidities, and adherence to guideline-directed medical therapy."
NYHA functional classification,Offline_Fallback,2026-09-18,offline://no-network-fallback,"The New York Heart Association functional classification grades heart failure symptom severity from class I (no limitation) to class IV (symptoms at rest), and is widely used to describe disease severity."
Coronary artery disease and heart failure,Offline_Fallback,2026-09-18,offline://no-network-fallback,Coronary artery disease and prior myocardial infarction are leading causes of heart failure with reduced ejection fraction due to loss of contractile myocardium.
Renal function monitoring,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Renal function and electrolytes, including creatinine, sodium, and potassium, are monitored closely in heart failure patients because diuretics and ACE inhibitors can affect kidney function."
Atrial fibrillation and heart failure,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Atrial fibrillation frequently coexists with heart failure, and rate or rhythm control strategies are chosen based on symptoms and left ventricular function."
SGLT2 inhibitors,Offline_Fallback,2026-09-18,offline://no-network-fallback,SGLT2 inhibitors such as empagliflozin and dapagliflozin have been shown to reduce hospitalization for heart failure across the spectrum of ejection fraction.
Chest x-ray findings,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Chest x-ray in heart failure may show cardiomegaly, pulmonary vascular congestion, and pleural effusion, supporting a clinical diagnosis of decompensated heart failure."
Echocardiography role,Offline_Fallback,2026-09-18,offline://no-network-fallback,"Echocardiography is the primary imaging test used to estimate ejection fraction, assess valvular function, and classify heart failure as reduced or preserved ejection fraction."
